CONTENT;TYPE_HOTLINE;class
Здравствуйте! Как можно отозвать согласия на зачисление?;2;1
Здравствуйте! Когда заканчивается приём документов на договорной основе? Можно ли будет после ## августа переподать документы с бюджета на платное обучение? Киселев Степан .;2;1
"Здравствуйте! Помогите, пожалуйста, у абитуриента не открылось видео с  записью упражнений ОФП для поступления на ""адаптивную физкультуру"".  Уведомление об этом увидели только сегодня ## августа.  Переслали в нужном формате. как и просили ещё раз. Но в уведомлении просили это сделать до # августа, а мы опоздали на # дня. Можно ещё проверить и засчитать?";2;5
Здравствуйте! Когда и куда нужно отправлять заявление на общежитие (до ## августа или только после зачисления?). И если заявление нужно отправлять сейчас, то на номер какого общежития я должен просить меня поселить.  И ещё. Когда будет происходить заселение в общежитие? Благодарю! С уважнием, Михаил ;2;4
Здравствуйте! Я подавал документы на бюджет очной формы обучения на профили ФК и БЖД и ФК. Экзамены сдал. Как мне можно перевестись на платную форму очного обучения на эти профили. Где взять пример заявление о переводе ? Спасибо.;1;1
Здравствуйте! Можно ли учиться в вашем университете одновременно на двух разных факультетах очно?;2;1
"Здравствуйте!

На сайте намисанно:""Порядок заселения студентов, зачисленных на # курс основных образовательных программ высшего образования (программы бакалавриата, программы специалитета, программы магистратуры), будет объявлен на странице ""Поступление"" на официальном сайте не позднее # августа #### года""



Так вот сегодня ## августа, а ничего подобного не обьявленно.  Когда его можно ожидать? 



Заранее благодарю) С уважнием, Каменских Маргарита Аркадьевна.";2;4
"Здравствуйте! Могу ли я подать еще одно заявление на ""Педагогическое образование"" Если я подавала на ""Педагогическое образование Образование в предметной области"", у меня сданы и оценены ОФП. Если можно, то подскажите как, спасибо";2;1
"Здравствуйте! Я поступаю заочно с платной основой на специальность ""Теплотехника"". Из собеседования успел сдать только физику, математику пропустил, я потом позвонил по телефону и мне сказали, что будет возможно сдать остальное в сентябре на доп наборах. Как мне быть, кому обратится за помощью? На сайте не могу найти нужную мне информацию. Спасибо. С уважнием, Валерия.";2;5
Здравствуйте! Я сдавала вступительные ## августа на факультет журналистики, сегодня должны быть результаты, но меня в списках нет. Как быть? Лебедев Игорь Игнатьевич;2;5
Здравствуйте! Если я не пройду на бюджет на физвоз, будет ли возможность присоединиться к учебе, если кто-то во время первого курса заберёт документы? Спасибо;2;1
Здравствуйте! до сих пор нет результатов вступительных испытаний по русскому языку;2;5
"Здравствуйте!

Я хочу отозвать свое согласие на зачисление.  Как это сделать?";2;1
"Здравствуйте!

### баллов реально поступить на бюджет на экономический (бух.учет) в этом году? Сколько проходной балл?  Как это понять?  Или нужно рассматривать другое направление? С уважнием, Станислав ";2;2
Здравствуйте! Я участвую по общему конкурсу поступления по направлению подготовки: Педагогическое образование. Есть ли возможность еще дополнительно предоставить  документ на поступление по целевому обучению? Спасибо. Кожевникова Юлия;2;1
"Здравствуйте!

Подскажите, пожалуйста, возможно ли перездать вступительное испытание, а именно ОФП

Спасибо. Каменских Мария.";2;5
Здравствуйте!Добрый день. Подскажите, я могу в одном заявлении о приеме указать и бюджет, и обучение на платной основе? И как лучше(быстрее?) подавать документы? В личном кабинете или по электронной почте?;2;1
Здравствуйте! Подскажите, пожалуйста, можно ли сейчас подавать заявление на платное обучение? В июле подавал документы только на бюджетные места, но сейчас, судя по конкурсу, боюсь, что не пройду на бюджет. Роман ;2;1
Здравствуйте! Скажите, пожалуйста, сколько всего согласий на зачисление можно подать в ваш вуз? Так же было бы интересно узнать, как проходит конкурс на зачисление. Если у абитуриента есть согласие, то он учавствует только в первой волне или во второй тоже?;2;1
Здравствуйте! Какой формы требуется медицинская справка ?;2;1
Здравствуйте! ,  институт физической культуры спорта . Подскажите пожалуйста , как и куда мне написать заявление на отчисление и в дальнейшем забрать документы? Мне дали ссылку, но там я ничего не нашёл . Заранее спасибо за ответ . С уважнием, Диана;1;1
"Здравствуйте! После окончания среднего специального образования ""Сестринское дело"" (после ## кл) чтобы поступить к вам на ""Экология и природопользование"" нужно предоставлять баллы ЕГЭ? Есть ли возможность сдать вступительные испытания для данного факультета, или только по ЕГЭ ?";2;1
ЗдравствуйтеЯ подала документы в университет,но поняла,что на одном факультете я не пройду,можно ли поменять факультет,а также приоритеты.Документы подавала через эл.почту;2;1
Здравствуйте! у меня возник вопрос. Есть ли  возможность, например с биологического факультета перевестись на лечебное дело?;2;6
"Здравствуйте!

Учитываются ли # дополнительных баллов за диплом победителя ""Конкурса"" при подаче заявления на ПЛАТНОЕ обучение?";2;3
"Здравствуйте!

Приняли решение подавать согласие в магистратуру по второму приоритету, хотя проходим и по первому. Возможно ли это?";2;1
"Здравствуйте! Планировали поступить на ""Перевод и переводоведение"". Результаты ЕГЭ : английский язык - ## баллов, русский язык - ## баллов, обществознание- ## балл. Не проходим? Спасибо!";2;2
Здравствуйте! Поступаю в магистратуру. Загрузила дипломы индивидуальных достижений только сейчас. Будут ли они зачтены или уже поздно? Благодарю заранее за ответ.;2;3
"Здравствуйте!

Есть уже результаты по внутреннему вступительному экзамену по русскому языку?Как узнать?Регистрационный номер ###.";2;5
Здравствуйте! Скажите, пожалуйста, когда будут известны результаты вступительных испытаний? Виктория.;2;5
Здравствуйте! Мой ребёнок № ####  подавал документы в личном кабинете, подтверждающие сдачу нормативов ГТО на золотой значок и звание КМС, но, уже более недели, количество баллов ему не добавлено. С уважнием, Александр .;2;3
Здравствуйте! Я абитуриент в магистратуру. Вступительные испытания прошла успешно. Подскажите, пожалуйста, согласие на зачисление я отправляла одновременно с заявлением на вступительные испытания и в списках абитуриентов отмечено, что согласие есть. Требуется ли от меня ещё что-то для зачисления? Спасибо! Мария;2;1
"Здравствуйте!

Я заинтересована в поступление на направление -Педагогическое образование (с двумя профилями подготовки). но на это направление отправлено лишь одно заявление. Меня интересует- есть ли смысл подавать заявление на это направление подготовки или же набор на него закроют из-за недостатка заявлений?";2;1
Здравствуйте! Где можно скачать экзаменационный лист для творческого вступительного испытания? С уважнием, Толмачева Виктория;2;5
Здравствуйте! Планирую поступать в аспиринтуру. Подскажите, пожалуйста, почту или другие контакты соотвествующего отдела.;2;7
Здравствуйте! Отправлял заявление для поступления (статус принято) в институт физической культуры, спорта и туризма (заочная форма обучения). Из-за ошибки загрузки в личном документе, видеозаписи отправил на почту приемной комиссии. Хотелось бы узнать свои результаты.;2;5
Здравствуйте!   Где можно скачать бланк заявления об отзыве о согласии. Спасибо Кристина;2;1
"День добрый! Подскажите, пожалуйста, нужна ли мед справка при подаче документов?

Подаем на ин.яз";2;1
"Здравствуйте! Я подала заявление ""##.##.####, Педагогическое образование (с двумя профилями подготовки). Бакалавр, Институт педагогики и психологии, очная форма, Общий конкурс"".  Как и где мне можно пройти творческий конкурс? 

Заранее спасибо за ответ!";2;5
Здравствуйте! Ребёнок поступает на заочное отделение Технологические машины и оборудование. На данном направлении только платное обучение или есть бюджет по конкурсу?;2;1
"Здравствуйте! Подскажите пожалуйста, при поступлении в ####г. на направление ""Психология образования"" на бюджетной основе можно ли перевестись на направление ""Психология"" тоже на бюджет (при том, что в этом учебном году закрылось бюджетное финансирование именно направления ""Психология"") Если да, то через какое время можно перевестись после поступления? Спасибо.";2;6
Здравствуйте! Я поступаю в магистратуру на бюджет, очная форма. Если я подам согласие о зачислении и ## августа меня зачислят, можно ли будет отказаться от зачисления после этого срока? Если да, то каким образом? Елизавета.;2;1
"Здравствуйте!

Подскажите крайний срок для подачи согласия о зачислении на бюджет?Когда будет известно кто зачислен на бюджет?и что такое ""первая"" и ""вторая"" волна зачисления?";2;1
"Здравствуйте! Я правильно понимаю, что при выборе # направлений мне надо каждое заполнять отдельно и отсылать вам скан-копии? Стоит ли мне указывать информацию о вступительных испытаниях, если да, то какую, если я поступаю по результатам ЕГЭ, на очную форму обучения? Отправлять ли мне вам Расписку, если показано, что её нужно обрезать?

Также я хотел бы узнать, стоит ли отправлять фотографии и указывать их количество в данной расписке. Что указывать в расписке в пункте под номером Четыре, что указывать в примечании?";2;1
"Здравствуйте! Рег номер №####

#) Согласие на зачисление посылается на e-mail. Если критерии заполнения этого письма? (поле тема,само сообщение) или в произвольной форме?

#) Как и насколько быстро меня уведомят, о том что согласие на зачисление принято?

#) Я выбрала  # направления обучения с  приоритетами.Сколько согласий на зачисление я могу послать одновременно?

Заранее спасибо за ответ!";2;1
Здравствуйте! Подскажите пожалуйста, по положению о переводе на бюджет написано, что по итогам летней сессии с ##-## сентября необходимо подать заявление о переводе, но в связи с тем, что институт был переведен на дистанционное обучение некоторые экзамены из летней сессии были перенесены на осень, Куда можно обратится по данному вопросу. Обратилась в отдел маркетинга, они не знают.;1;6
Здравствуйте! Я уже подал заявление на поступление, как можно изменить направления подготовки и приоритеты? Нужно отзывать это заявление и писать новое? Если нужно, то как отозвать? Рег. номер #### Маргарита;2;1
"Здравствуйте! В списке абитуриентов есть графа ""Согласие"". О каком согласии идет речь? Где можно найти образец данного документа для заполнения? Куда его направить? К какому дню данное согласие должно быть мною дано?";2;1
"Здравствуйте!

Хотелось бы уточнить по алгоритму зачисления. Подавала документы на платное отделение, вступительные испытания пройдены, согласие на зачисление есть.  Остается неясным такой вопрос: договор о платном обучении составляется уже после опубликования списка зачисленных или надо его заполнить до его появления?";2;1
"Здравствуйте!

Я хочу поступить в ваш университет в следующем году на учителя младших классов (после ## класса) какие вступительные у вас  экзамены? Иу вас можно попасть на бюджетное место если у вас они есть,если нет, то какая сумма за обучение?";2;1
Здравствуйте! Хотелось бы узнать работает ли приложение  для прохождения теста  по русскому языку? С уважнием, Фёдор .;2;5
Здравствуйте! Можно узнать, дошли ли вступительные испытания (офп) по почте? Регистрационный номер ### С уважнием, Романов Ярослав ;2;5
Здравствуйте! Абитуриент № #### в личном кабинете при подаче документов не загрузил удостоверение ГТО. Загрузили сегодня, а также  отправили по эл. почте. Можем рассчитывать на дополнительные баллы?;2;3
"Здравствуйте! рег.N ####, подал документы для поступления сверх плана приема с оплатой обучения (т.к. балл по математике низкий -##). В списках значится. 

Подскажите, пожалуйста, есть ли у него шанс поступить на выбранное направление сверх плана с оплатой обучения? Когда ему ждать результат?";2;2
"Здравствуйте!

хочу поступить заочно по направлению ""Начальное образование""

у меня есть диплом о среднем профессиональном образовании по специальности дошкольное образование,

и диплом о профессиональной переподготовке.

Когда я могу подать документы для поступления и что для этого необходимо? Лебедева Полина";2;1
Здравствуйте! У меня в данную минуту должен быть вступительное испытание в магистратуру в виде теста он-лайн. На почту не пришли ни ссылки в конференцию ЗУМ, со мной никто не связывался. Телефон горячей линии  не отвечает. Как быть? С чем это связано? и в как теперь будут проводиться испытания? С уважнием, Георгий ;2;5
Здравствуйте! Хочу отозвать согласие на зачисление по второму приоритету, так как не хочу лишить себя возможности пройти во вторую волну по первому приоритету, но вот меня беспокоит тот факт, что  мои согласия обрабатываются  уже неделю и если я  всё-таки не пройду во вторую волну по первому приоритету, то ##,## августа вышлю согласие на второй приоритет. Вопрос: успеете ли Вы обработать за два дня моё согласие на зачисление и согласия всех желающих? И не получится ли так, что я вообще никуда не поступлю? Спасибо. Александрова Виктория;2;1
Здравствуйте! Являюсь студенткой. Решила поменять направление подготовки, перепоступаю. Сдала ЕГЭ, подала заявление. Оценивая свои баллы понимаю, что прохожу. В какой момент нужно будет отчислиться? После приказа о зачислении?;2;6
Здравствуйте! по телефону меня проконсультировали ,что можно подать согласие на зачисление на все программы подготовки. Я подал согласие в физико-технический институт на три программы подготовки очно по бюджетные места  и одно на платно. Правильно ли я сделал.С вузом я определился , это ваш вуз.;2;1
Здравствуйте! Я писала в заявлении на поступление то, что мне нужны вступительные испытания по истории, обществознанию и русскому языку. При этом мною были указаны результаты ЕГЭ прошлых лет (####) по обществознанию и русскому. Буду ли я проходить вступительные испытания по этим двум предметам? На платформе есть вступительное испытание только по истории, которое было пройдено мною. Регистрационный номер: ####;2;5
Здравствуйте! А как подать заявление на несколько напрвалений? Или же как в заявление добавить более # напрвления?;2;1
"Здравствуйте! Дадут ли дополнительные балы на физвоз за  ""разряд""?";2;3
"Здравствуйте! Абитуриент с номером ####, подскажите, пожалуйста, почему не засчитаны дополнительные баллы за достижения: дипломы первой степени в ""Конкурсе""?";2;3
"Здравствуйте!

Можно ли ещё поступить на заочное обучение в этом году?";2;1
Здравствуйте, согласие на зачисление в магистратуру нужно подать до ## августа, однако я так же поступаю и в другой ВУЗ, в котором вступительные испытания проходят только в ##-х числах августа. Как я могу поступить в данной ситуации? Ведь согласие на зачисление можно подать только в один ВУЗ, и если я подам его в ПетрГУ, то получается, что не смогу поступать в другой ВУЗ.;2;1
Здравствуйте! Я подал два заявления согласия на зачисление, как отозвать одно из заявлений? Спасибо.;2;1
Здравствуйте! Где на сайте можно скачать заявление об отзыве о зачисления (бакалавр, специалитет).;2;1
Здравствуйте, подскажите, пожалуйста, по специальности журналистика проводится только одно испытание ## августа (написание эссе), без собеседования? Тогда для каких специальностей дополнительное испытание профессиональной направленности (ОФП),  которое проводилось # августа(по таблице)? Будет ли накануне вступительных предупреждение о начале экзамена? Роман ;2;5
Здравствуйте! Можно ли отозвать заявление о согласии на зачисление?;2;1
Здравствуйте! Могу ли я подать документы на заочное обучение?;2;1
"Здравствуйте!

#. Как в Личном кабинете абитуриента технически поменять приоритет?

Нужно отзывать? Или просто поменять при помощи бегунка?  Или нужно на электронную почту писать?

#. Можно ли сразу на все направления подать заявления о согласии на зачисление? Как это сделать? По электронной почте?";2;1
"Здравствуйте! Я подал # заявлений для поступления: одно на бюджет Туризм. одно на бюджет Гостиничное дело. , одно на
платную основу  ";2;1
Здравствуйте! Разъясните, пожалуйста, ситуацию с согласиями на зачисление. Я считала, что одномоментно согласие подается только одно – на конкретную специальность. В этом году можно подавать  сразу # согласий на все заявленные приоритеты (включая те, которые идут по конкурсу «Сверх плана приема  с оплатой обучения»)? «Непригодившиеся» согласия нужно будет отзывать или они будут автоматически аннулированы? Как будет происходить зачисление на практике?;2;1
Здравствуйте! До какого числа можно поменять приоритеты?;2;1
Здравствуйте! Возможно ли через тех.поддержку отредактировать профиль абитуриента? Добавить КМС, раньше не было возможности подтвердить С уважнием, Степанов Андрей Данилович;2;1
Здравствуйте! А есть ли такая возможность, после первого года обучения на платной основе, перевестись на  целевое? С уважнием, Богдан ;2;6
Здравствуйте! Согласие о зачисление можно подать сразу на # специальности с разными приоритетами? Чтобы если не пройдешь по # приоритету, зачисляли по второму?согласие надо подать до ## августа?;2;1
Здравствуйте! в положении п.## ч.II. указано, что необходимо подать заявление на имя председателя приемной комиссии университета о прохождении вступительных испытаний в дистанционном формате. Где взять форму? На чье имя нужно писать? уточните, пожалуйста. В личном кабинете нет такой формы и графы.;2;5
Здравствуйте! Как записаться на вступительное испытание по физической культуре? Фёдор ;2;5
"Здравствуйте! Можно ли с платной основы перевестись на бюджет после первого года обучения ""Лечебное дело""? И какие для этого нужны условия? С уважнием, Лебедев Даниил .";2;6
Здравствуйте! Мой ребёнок желает поступит на обучение В Институт лесных, горных и строительных наук . Специальность ##.##.## Строительство автомобильных дорог. На заочное платное обучение. Служба в армии пройдена. Закончен техникум по этой специальности. Как нам подать заявление, в какие сроки и когда проводятся вступительные испытания.?;2;1
Здравствуйте!Где взять шаблон для  заявления о согласии на зачисление, и куда его отправлять? Диана.;2;1
Здравствуйте! Я просил показать где можно посмотреть проходные баллы, но мне дали ссылку на минимальные, а не проходные баллы. Могли бы мне скинуть именно проходные. А так же список лиц, подавших заявление на общий конкурс. Заранее спасибо;2;2
"Здравствуйте! В прайсе на ####г. отсутствует направление"" Горное дело"". Это направление существует в Вашем ВУЗе?  Набор на него идёт? Спасибо";2;1
Здравствуйте! Обучалась #.# года, забрала документы, училась на лечебном факультете, могу ли я восстановиться к вам на лечфак? Куда обратиться? Имеется справка об академических часах. Попов Михаил ;2;6
"Здравствуйте!Можно узнать, когда именно нужно предоставить документ о согласии на зачисление?

Спасибо. Александрова Вероника Дмитриевна.";2;1
Здравствуйте! помогите. не могу найти информацию по поводу поступления на заочное отделение. педагогика;2;1
Здравствуйте! Сегодня я должна была пройти вступительное испытание. По причине моей работы не было возможности выйти в интернет ранее, как быть? Александрова Ксения;1;5
Здравствуйте!Kак узнать, есть ли я в списках абитуриентов и когда и какие экзамены сдавать на заочное обучение (ГМУ);2;5
Здравствуйте! Можно ли подать заявления сразу на несколько направлений?;2;1
Здравствуйте! Если я не поступлю на бюджет, могу я оформить договор на платное обучение после ## августа.  Если да то, где его найти и куда вложить.;2;1
"Здравствуйте, уважаемые сотрудники приёмной комиссии!



Будьте добры, подскажите, пожалуйста, до какого числа (включительно) нужно прислать согласие на зачисление тем, кто поступает в МАГИСТРАТУРУ в Институте филологии? (Вступительный экзамен пройдёт # августа).";1;1
Здравствуйте! Имею целевое направление на медицинский факультет. Подать заявление на поступление смогу не раньше ## августа. Нет технической возможности сделать это раньше. Всвязи с большой загруженностью ваших ресурсов не будет ли это поздно? Нужно ли будет проверять целевое? Очень беспокоюсь по этому поводу. Хочу подавать заявление на три направления.;2;1
"Здравствуйте!

Имеют ли значения минимальные баллы для поступления на направление( например, у меня ##, а минимальный ##), если поступаешь по целевому направлению?";2;2
Здравствуйте! Подскажите В связи с тем что  е г э были перенесены из-за карантина До какого числа можно подать документы на поступление в университет? С уважнием, Ксения;2;1
Здравствуйте! Я подала документы по электронной почте ##.##.####. Что надо еще сделать чтобы  быть в списке абитуриентов?;2;1
Здравствуйте!Когда можно будет отнести документы (оригиналы) в университет и в какой кабинет ? Спасибо.;2;1
Здравствуйте! Завтра у вас будет проходить экзамен по химии , я бы хотел уточнить по какому времени вы его будете проводить?;2;5
"Здравствуйте! Что делать если # экзамена стоят в один день (математика и ин.язык #.##, биология и обществознание #.##)?

И какую математику сдавать если подавал документы и на педагогические специальности, и на дизайн?? (В графике разные ссылки на них) С уважнием, Виктор Иванович";2;5
Здравствуйте! Я подала заявление на поступление и допущена к экзамену. Нужно ли дополнительно подавать заявление о допуске к вступительному экзамену?;2;5
Здравствуйте! Прикрепил # сертификата в индивидуальные достижения только сегодня. Будут ли они засчитаны? Семенов Лев .;2;3
Здравствуйте! Была ли сегодня конференция (консультация) поступающим в магистратуру ? и во сколько завтра будет экзамен? Белов Семён Кириллович.;2;5
Здравствуйте! Подскажите пожалуйста аттестат с отличием прикреплять в графу индивидуальные достижения?;2;3
"Здравствуйте! Хотела бы подать заявление по почте, но прочитала, что договор прикладывать не нужно, если абитуриент планирует поступать на платную основу, но и попробовать сначала на бюджет.   Для этого отсылать заявления только с видом конкурса ""сверх плана приёма"", отдельно заявления на бюджет не отсылать? А также там написано, что заявление на платное обучение будет рассматриваться при условии оформления  договора. Так договор отсылать или нет? Спасибо за помощь.";2;1
"Здравствуйте! Подскажите пожалуйста, я подала документы ##.##.##,  Институт педагогики и психологии, очная форма, Общий конкурс"" оно принято приемной комиссией, будут ли проводиться доп вступительные испытания?";2;5
Здравствуйте! Нужно ли при поступлении согласие на зачисление от официального опекуна? Спасибо за ответ.;2;1
"Здравствуйте! Подскажите пожалуйста, раньше при подаче документов на некоторые факультеты можно было попросить о рассмотрении Итогового сочинения, чтобы получить дополнительный балл. Можно ли в этом году так сделать? Если да, то как и для каких факультетов это доступно?

И есть ли какие-то баллы за участие в волонтерстве?

Заранее, спасибо.";2;3
"Здравствуйте!

Подавала документы, очно, магистратура.

Передумала поступать очно. Возможно ещё оформить договор на платной основе на заочное обучение?";2;1
Здравствуйте! Я подала три заявления на общий конкурс. Могу я подать четвёртое на одно из тех же направлений на платное на случай, если не пройду конкурс? И есть ли ограничения мест для платного обучения?;2;1
"Здравствуйте! Я подавал документы на поступление в магистратуру по направлению подготовки ""Экономика и финансы"" и на сайте была информация о вступительном тестировании # августа в ##:##. Было сказано, что будет предварительное оповещение по электронной почте, но ничего не пришло. В личном кабинете абитуриента тоже никакой информации нет. Когда ждать оповещения, куда заходить для тестирования?";2;5
"Здравствуйте! Скажите, пожалуйста, почему мне не засчитали в достижения серебряную медаль, хотя я Вам предоставлял все сканы? У Вас же на сайте написано: "" наличие аттестата о среднем общем образовании с отличием, или аттестата о среднем (полном) общем образовании для награжденных золотой медалью, или аттестата о среднем (полном) общем образовании для награжденных серебряной медалью - ## баллов""";2;3
Здравствуйте! У меня возник вопрос, я, к сожалению, не успела ## числа в ##:## увидеть консультацию по вступительных испытаний. Можно ли это как-то найти и посмотреть? А также, написано, что будет допуск к вступительным испытаниям с новым логином и паролем, который отправят на электронную почту, мне ничего не отправляли, когда это дадут? Анна.;2;5
Здравствуйте! Хотела бы узнать, что делать, если не удалось посетить конференцию ## июля, посвященную творческому испытанию.Можно ли как то узнать, что было в этой конференции?И ещё могу ли я узнать, что делать с результатами ЕГЭ?По некоторым причинам я не могу ввести эти данные.Есть ли возможность это исправить?Заранее спасибо. С уважнием, Руслан ;2;5
Здравствуйте! Хотел бы узнать могу ли я подать ещё на заочную форму обучения, на бакалавриат или Специалитет: Горное дело С уважнием, Ольга;2;1
Здравствуйте! Вопрос по поводу поступления в магистратуру : если не хватает документа  о допуске к дистанционному вступительному испытанию, нельзя сдавать экзамен? Ответа о том, что документы приняты или чего-либо не хватает, не получили. Ульяна.;2;5
"Здравствуйте! подала заявления на поступление в магистратуру.  пропустила конференцию, которая проходила в пятницу в ##:##

хотела бы узнать, как подключиться к вступительным испытаниям С уважнием, Руслан .";2;5
